ID,Binomial,Nrec,Group,ROC,TSS,Sensitivity,Specificity,Cutoff,Method
803,Periporphyruserythromelas,9,Birds,1 +/- 0.02,1 +/- 0.03,100 +/- 0,98.41 +/- 3.05,0.29 +/- 0.11,UPFls_10
804,Peritassalaevigata,10,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.02 +/- 5.77,0.35 +/- 0.15,SDM
805,Phaethornisaethopyga,15,Birds,1 +/- 0.02,0.9 +/- 0.07,100 +/- 0,92.76 +/- 6.98,0.23 +/- 0.19,SDM
806,Phaethornisbourcieri,5,Birds,1 +/- 0.05,1 +/- 0.06,100 +/- 0,95.83 +/- 6.47,0.27 +/- 0.09,UPFls_10
807,Phaethornisruber,146,Birds,0.9 +/- 0.04,0.6 +/- 0.07,80.2 +/- 10.01,79.27 +/- 7.64,0.1 +/- 0.04,Excluded
808,Phaethornissuperciliosus,85,Birds,0.9 +/- 0.03,0.8 +/- 0.07,88.24 +/- 8.49,89.97 +/- 6.11,0.13 +/- 0.08,SDM
809,Phaethornisunknown,49,Birds,1 +/- 0.03,0.9 +/- 0.06,96.25 +/- 6.6,92.53 +/- 4.39,0.18 +/- 0.07,SDM
810,Phaneracoronata,7,Trees,1 +/- 0.07,0.9 +/- 0.09,100 +/- 0,94.46 +/- 8.63,0.37 +/- 0.17,SDM
811,Phaneracupreonitens,29,Trees,1 +/- 0.03,0.9 +/- 0.08,91.89 +/- 8.45,93.58 +/- 6.83,0.23 +/- 0.11,SDM
812,Phanerarutilans,35,Trees,1 +/- 0.04,0.9 +/- 0.09,91.43 +/- 8.25,94.34 +/- 7.46,0.34 +/- 0.22,SDM
813,Phanerasiqueiraei,13,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,89.38 +/- 7.95,0.21 +/- 0.19,SDM
814,Phanerasplendens,28,Trees,0.9 +/- 0.04,0.8 +/- 0.08,94.87 +/- 7.84,87.56 +/- 7.25,0.16 +/- 0.11,SDM
815,Pheugopediuscoraya,86,Birds,0.9 +/- 0.04,0.8 +/- 0.07,92.28 +/- 9.38,87.82 +/- 5.33,0.1 +/- 0.06,SDM
816,Pheugopediusgenibarbis,103,Birds,0.9 +/- 0.04,0.7 +/- 0.06,84.62 +/- 9.15,82.81 +/- 9.2,0.16 +/- 0.14,SDM
817,Philydorerythrocercum,26,Birds,1 +/- 0.05,0.9 +/- 0.1,92.5 +/- 9.84,96.83 +/- 6.41,0.4 +/- 0.21,SDM
818,Philydorerythropterum,9,Birds,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.44 +/- 7.27,0.28 +/- 0.16,SDM
819,Philydorruficaudatum,14,Birds,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,88.21 +/- 10.31,0.15 +/- 0.18,SDM
820,Phlegopsisnigromaculata,34,Birds,0.9 +/- 0.04,0.8 +/- 0.08,87.68 +/- 7.37,95.66 +/- 4.69,0.23 +/- 0.14,SDM
821,Phoenicircuscarnifex,11,Birds,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.55 +/- 5.8,0.35 +/- 0.13,SDM
822,Phylloscartesvirescens,5,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.83 +/- 6.79,0.36 +/- 0.12,UPFls_10
823,Piayacayana,89,Birds,0.8 +/- 0.03,0.5 +/- 0.06,76.94 +/- 11.46,76.86 +/- 12.22,0.13 +/- 0.09,Excluded
824,Piayamelanogaster,8,Birds,1 +/- 0.02,1 +/- 0.04,100 +/- 0,98.09 +/- 4.23,0.34 +/- 0.1,UPFls_10
825,Picramniajuniniana,4,Trees,NA,NA,NA,NA,NA,UPFls_10
826,Piculuschrysochloros,7,Birds,1 +/- 0.03,1 +/- 0.07,100 +/- 0,96.07 +/- 6.89,0.33 +/- 0.09,UPFls_10
827,Piculusflavigula,28,Birds,0.9 +/- 0.04,0.8 +/- 0.06,93.21 +/- 8.35,87.95 +/- 6.81,0.13 +/- 0.09,SDM
828,Picumnusaurifrons,8,Birds,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,86.25 +/- 7.52,0.24 +/- 0.16,SDM
829,Pionitesleucogaster,21,Birds,1 +/- 0.06,0.9 +/- 0.12,94.12 +/- 10.93,96.74 +/- 8.45,0.44 +/- 0.16,SDM
830,Pionusfuscus,54,Birds,0.9 +/- 0.02,0.8 +/- 0.06,88.81 +/- 9.93,86.48 +/- 10.1,0.18 +/- 0.18,SDM
831,Pionusmenstruus,126,Birds,0.8 +/- 0.04,0.6 +/- 0.05,63.76 +/- 7.1,92.58 +/- 5.26,0.16 +/- 0.07,Excluded
832,Piprarubrocapilla,99,Birds,0.9 +/- 0.03,0.8 +/- 0.05,91.67 +/- 7.72,84.52 +/- 10.03,0.12 +/- 0.11,SDM
833,Pipriteschloris,29,Birds,0.9 +/- 0.04,0.8 +/- 0.08,89.32 +/- 8.1,95.4 +/- 6.9,0.28 +/- 0.18,SDM
834,Piptadeniaminutiflora,4,Trees,NA,NA,NA,NA,NA,UPFls_10
835,Piptadeniauaupensis,14,Trees,1 +/- 0.02,1 +/- 0.07,100 +/- 0,95.51 +/- 7.01,0.27 +/- 0.16,SDM
836,Pithecellobiumlanceolatum,3,Trees,NA,NA,NA,NA,NA,UPFls_10
837,Platymisciumtrinitatis,17,Trees,0.9 +/- 0.04,0.9 +/- 0.07,100 +/- 0,85.79 +/- 7.37,0.21 +/- 0.15,SDM
838,Platyrinchusplatyrhynchos,23,Birds,1 +/- 0.06,0.9 +/- 0.09,93.75 +/- 9.37,98.48 +/- 2.38,0.35 +/- 0.13,SDM
839,Platyrinchussaturatus,7,Birds,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.28 +/- 7.34,0.35 +/- 0.1,UPFls_10
840,Pleonotomajasminifolia,10,Trees,1 +/- 0.06,0.9 +/- 0.07,100 +/- 0,94.32 +/- 7.12,0.34 +/- 0.18,SDM
841,Pogonophoraschomburgkiana,18,Trees,1 +/- 0.04,0.9 +/- 0.1,98.61 +/- 5.81,89.74 +/- 9.71,0.28 +/- 0.2,SDM
842,Polioptilaparaensis,7,Birds,1 +/- 0.02,1 +/- 0.05,100 +/- 0,96.79 +/- 4.99,0.36 +/- 0.13,UPFls_10
843,Poraqueibaguianensis,3,Trees,NA,NA,NA,NA,NA,UPFls_10
844,Porocystistoulicioides,7,Trees,0.8 +/- 0.1,0.8 +/- 0.09,100 +/- 0,79.46 +/- 9.72,0.21 +/- 0.17,Excluded
845,Posoquerialatifolia,8,Trees,0.9 +/- 0.06,0.9 +/- 0.08,100 +/- 0,85.5 +/- 7.59,0.34 +/- 0.22,SDM
846,Posoquerialongiflora,4,Trees,NA,NA,NA,NA,NA,UPFls_10
847,Pouroumabicolor,2,Trees,NA,NA,NA,NA,NA,UPFls_10
848,Pouroumaguianensis,76,Trees,0.9 +/- 0.03,0.8 +/- 0.07,88.64 +/- 7.8,90.17 +/- 7.74,0.15 +/- 0.14,SDM
849,Pouroumamollis,4,Trees,NA,NA,NA,NA,NA,UPFls_10
850,Pouroumavillosa,6,Trees,1 +/- 0.05,0.9 +/- 0.1,100 +/- 0,93.8 +/- 9.67,0.39 +/- 0.14,SDM
851,Pouteriaanomala,57,Trees,0.9 +/- 0.04,0.8 +/- 0.06,87.01 +/- 8.55,94.61 +/- 6.28,0.24 +/- 0.2,SDM
852,Pouteriabangii,16,Trees,1 +/- 0.02,1 +/- 0.06,100 +/- 0,96.57 +/- 6.11,0.32 +/- 0.16,SDM
853,Pouteriabilocularis,6,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,94.16 +/- 8.17,0.3 +/- 0.14,SDM
854,Pouteriacaimito,89,Trees,0.9 +/- 0.03,0.8 +/- 0.05,85.67 +/- 7.71,89.32 +/- 7.89,0.13 +/- 0.08,SDM
855,Pouteriacampanulata,5,Trees,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,93.89 +/- 7.66,0.27 +/- 0.09,SDM
856,Pouteriacladantha,75,Trees,0.9 +/- 0.02,0.8 +/- 0.05,86.97 +/- 6.66,90.21 +/- 6.38,0.14 +/- 0.1,SDM
857,Pouteriacoriacea,35,Trees,0.9 +/- 0.04,0.9 +/- 0.08,89.61 +/- 7.77,98.08 +/- 2.86,0.27 +/- 0.17,SDM
858,Pouteriacrassiflora,5,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,95.59 +/- 6.5,0.27 +/- 0.08,UPFls_10
859,Pouteriacuspidata,11,Trees,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,93.03 +/- 9.6,0.27 +/- 0.2,SDM
860,Pouteriadecorticans,84,Trees,0.9 +/- 0.08,0.8 +/- 0.15,84.25 +/- 15.96,92.2 +/- 6.7,0.2 +/- 0.21,SDM
861,Pouteriaelegans,9,Trees,1 +/- 0.06,0.9 +/- 0.09,100 +/- 0,91.19 +/- 9.21,0.21 +/- 0.13,SDM
862,Pouteriaengleri,20,Trees,0.9 +/- 0.06,0.8 +/- 0.11,89.17 +/- 12.6,95.36 +/- 7.31,0.34 +/- 0.22,SDM
863,Pouteriaerythrochrysa,8,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,95.19 +/- 6.39,0.28 +/- 0.13,UPFls_10
864,Pouteriaeugeniifolia,9,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,93.61 +/- 8.51,0.21 +/- 0.15,SDM
865,Pouteriafilipes,39,Trees,1 +/- 0.04,0.8 +/- 0.09,87.83 +/- 9.85,95.42 +/- 6.74,0.26 +/- 0.22,SDM
866,Pouteriafimbriata,5,Trees,1 +/- 0.06,0.9 +/- 0.07,100 +/- 0,95 +/- 7.18,0.31 +/- 0.14,SDM
867,Pouteriagongrijpii,62,Trees,1 +/- 0.03,0.8 +/- 0.06,90.15 +/- 7.92,92.19 +/- 6.39,0.15 +/- 0.11,SDM
868,Pouteriaguianensis,98,Trees,0.9 +/- 0.04,0.8 +/- 0.06,83.85 +/- 7.3,95.79 +/- 4.67,0.2 +/- 0.11,SDM
869,Pouteriaheterosepala,11,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.36 +/- 6.36,0.36 +/- 0.21,SDM
870,Pouteriahispida,11,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.73 +/- 7.81,0.27 +/- 0.23,SDM
871,Pouteriajariensis,40,Trees,0.9 +/- 0.05,0.9 +/- 0.09,88.25 +/- 9.59,98.01 +/- 3.08,0.32 +/- 0.19,SDM
872,Pouteriakrukovii,24,Trees,1 +/- 0.04,0.9 +/- 0.08,96.36 +/- 7.8,93.7 +/- 6.04,0.18 +/- 0.11,SDM
873,Pouteriamacrocarpa,19,Trees,0.9 +/- 0.04,0.8 +/- 0.08,97.83 +/- 7.2,85.19 +/- 8.85,0.15 +/- 0.14,SDM
874,Pouteriamacrophylla,122,Trees,0.9 +/- 0.01,0.8 +/- 0.04,88.78 +/- 5.75,88.02 +/- 5.97,0.1 +/- 0.04,SDM
875,Pouteriamaguirei,1,Trees,NA,NA,NA,NA,NA,UPFls_10
876,Pouteriaoblanceolata,6,Trees,0.9 +/- 0.07,0.9 +/- 0.07,100 +/- 0,93.55 +/- 7.04,0.37 +/- 0.24,SDM
877,Pouteriaopposita,2,Trees,NA,NA,NA,NA,NA,UPFls_10
878,Pouteriaoppositifolia,26,Trees,0.9 +/- 0.04,0.8 +/- 0.08,92.68 +/- 9.75,90.7 +/- 9.15,0.23 +/- 0.21,SDM
879,Pouteriapariry,2,Trees,NA,NA,NA,NA,NA,UPFls_10
880,Pouteriapeduncularis,1,Trees,NA,NA,NA,NA,NA,UPFls_10
881,Pouteriaperuviensis,7,Trees,1 +/- 0.07,0.9 +/- 0.08,100 +/- 0,94.88 +/- 8.06,0.33 +/- 0.19,SDM
882,Pouteriapetiolata,6,Trees,1 +/- 0.04,1 +/- 0.07,100 +/- 0,96.15 +/- 7.46,0.36 +/- 0.08,UPFls_10
883,Pouteriaprieurii,7,Trees,1 +/- 0.06,0.9 +/- 0.08,100 +/- 0,93.12 +/- 7.52,0.27 +/- 0.12,SDM
884,Pouteriaprocera,7,Trees,1 +/- 0.02,1 +/- 0.05,100 +/- 0,97.74 +/- 4.71,0.34 +/- 0.1,UPFls_10
885,Pouteriareticulata,42,Trees,1 +/- 0.04,0.9 +/- 0.09,90 +/- 11.04,95.73 +/- 4.69,0.26 +/- 0.2,SDM
886,Pouteriaretinervis,3,Trees,NA,NA,NA,NA,NA,UPFls_10
887,Pouteriasp,21,Trees,0.9 +/- 0.06,0.9 +/- 0.12,92.5 +/- 11.6,95.46 +/- 7.07,0.25 +/- 0.15,Excluded
888,Pouteriasp1,1,Trees,NA,NA,NA,NA,NA,Excluded
889,Pouteriaspeciosa,4,Trees,NA,NA,NA,NA,NA,UPFls_10
890,Pouteriatrilocularis,2,Trees,NA,NA,NA,NA,NA,UPFls_10
891,Pouteriavenosa,30,Trees,1 +/- 0.03,0.9 +/- 0.08,92 +/- 8.5,94.47 +/- 6.54,0.26 +/- 0.21,SDM
892,Pouteriavernicosa,2,Trees,NA,NA,NA,NA,NA,UPFls_10
893,Pouteriavirescens,5,Trees,1 +/- 0.06,1 +/- 0.08,100 +/- 0,95.79 +/- 7.58,0.34 +/- 0.16,UPFls_10
894,Pradosiabrevipes,2,Trees,NA,NA,NA,NA,NA,UPFls_10
895,Pradosiagranulosa,7,Trees,0.9 +/- 0.11,0.9 +/- 0.11,100 +/- 0,92.29 +/- 11.16,0.43 +/- 0.23,SDM
896,Pradosiasurinamensis,1,Trees,NA,NA,NA,NA,NA,UPFls_10
897,Prionostemmaaspera,28,Trees,0.9 +/- 0.03,0.8 +/- 0.07,92.03 +/- 8.51,88.85 +/- 7.82,0.21 +/- 0.17,SDM
898,Prognechalybea,143,Birds,0.8 +/- 0.03,0.5 +/- 0.03,83.1 +/- 12.64,71.92 +/- 12.84,0.2 +/- 0.16,Excluded
899,Protiumaltsonii,26,Trees,0.9 +/- 0.04,0.8 +/- 0.09,90 +/- 10.12,94.62 +/- 7.46,0.26 +/- 0.18,SDM
900,Protiumamazonicum,1,Trees,NA,NA,NA,NA,NA,UPFls_10
901,Protiumapiculatum,44,Trees,0.9 +/- 0.05,0.9 +/- 0.09,89.44 +/- 9.05,96.15 +/- 4.48,0.22 +/- 0.15,SDM
902,Protiumcrenatum,11,Trees,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.58 +/- 2.99,0.35 +/- 0.11,SDM
903,Protiumdecandrum,91,Trees,0.9 +/- 0.04,0.8 +/- 0.06,83.21 +/- 7.72,95.79 +/- 4.24,0.22 +/- 0.14,SDM
904,Protiumgiganteum,11,Trees,1 +/- 0.04,0.9 +/- 0.08,100 +/- 0,92.01 +/- 7.8,0.28 +/- 0.23,SDM
905,Protiumhebetatum,10,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.78 +/- 6.82,0.28 +/- 0.14,SDM
906,Protiumheptaphyllum,7,Trees,1 +/- 0.06,1 +/- 0.07,100 +/- 0,96.03 +/- 7.23,0.42 +/- 0.24,UPFls_10
907,Protiumopacum,7,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.05 +/- 5.6,0.34 +/- 0.14,UPFls_10
908,Protiumpallidum,63,Trees,0.9 +/- 0.04,0.7 +/- 0.08,83.29 +/- 10.29,87.72 +/- 9.32,0.15 +/- 0.13,SDM
909,Protiumpaniculatum,4,Trees,NA,NA,NA,NA,NA,UPFls_10
910,Protiumpilosum,17,Trees,1 +/- 0.03,1 +/- 0.07,100 +/- 0,95.37 +/- 6.85,0.28 +/- 0.11,SDM
911,Protiumpolybotryum,14,Trees,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,89.47 +/- 6.65,0.17 +/- 0.12,SDM
912,protiumrobustum,1,Trees,NA,NA,NA,NA,NA,UPFls_10
913,Protiumrobustum,71,Trees,0.9 +/- 0.04,0.8 +/- 0.06,88.35 +/- 9.16,92.91 +/- 6.34,0.18 +/- 0.16,SDM
914,Protiumsagotianum,53,Trees,0.9 +/- 0.03,0.8 +/- 0.07,88.86 +/- 9,92.79 +/- 5.86,0.23 +/- 0.23,SDM
915,Protiumspruceanum,7,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.25 +/- 6.41,0.34 +/- 0.14,UPFls_10
916,Protiumsubserratum,1,Trees,NA,NA,NA,NA,NA,UPFls_10
917,Protiumtenuifolium,54,Trees,0.9 +/- 0.04,0.8 +/- 0.08,90.39 +/- 9.85,90.11 +/- 7.94,0.12 +/- 0.1,SDM
918,Protiumtrifoliolatum,57,Trees,0.9 +/- 0.04,0.8 +/- 0.09,85.67 +/- 8.51,96.23 +/- 3.57,0.19 +/- 0.11,SDM
919,Protiumunifoliolatum,10,Trees,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,91.97 +/- 7.67,0.32 +/- 0.19,SDM
920,Prunusmyrtifolia,9,Trees,0.9 +/- 0.06,0.9 +/- 0.08,100 +/- 0,87.63 +/- 8.29,0.23 +/- 0.16,SDM
921,Psarocoliusbifasciatus,17,Birds,0.9 +/- 0.04,0.8 +/- 0.07,100 +/- 0,81.78 +/- 7.58,0.1 +/- 0.08,SDM
922,Psarocoliusviridis,36,Birds,0.9 +/- 0.05,0.8 +/- 0.09,89.04 +/- 10.26,95 +/- 8.16,0.27 +/- 0.21,SDM
923,Pseudanamomisumbellulifera,4,Trees,NA,NA,NA,NA,NA,UPFls_10
924,Pseudasturalbicollis,1,Birds,NA,NA,NA,NA,NA,UPFls_10
925,Pseudimafrutescens,40,Trees,0.9 +/- 0.03,0.8 +/- 0.06,94 +/- 8.16,85.22 +/- 8.08,0.18 +/- 0.14,SDM
926,Pseudoconnarusmacrophyllus,5,Trees,1 +/- 0.07,0.9 +/- 0.08,100 +/- 0,93.75 +/- 8.71,0.26 +/- 0.17,SDM
927,Pseudolmedialaevigata,11,Trees,1 +/- 0.07,0.9 +/- 0.1,100 +/- 0,94.36 +/- 9.58,0.49 +/- 0.31,SDM
928,Pseudolmedialaevis,12,Trees,1 +/- 0.03,1 +/- 0.06,100 +/- 0,96.22 +/- 6.31,0.33 +/- 0.15,SDM
929,Pseudolmediamacrophylla,9,Trees,1 +/- 0.04,0.9 +/- 0.07,100 +/- 0,91.92 +/- 6.93,0.2 +/- 0.08,SDM
930,Pseudopiptadeniapsilostachya,48,Trees,0.9 +/- 0.04,0.7 +/- 0.08,86.56 +/- 9.02,85.61 +/- 8.05,0.18 +/- 0.1,SDM
931,Pseudopiptadeniasp,2,Trees,NA,NA,NA,NA,NA,Excluded
932,Pseudopiptadeniasuaveolens,76,Trees,1 +/- 0.04,0.8 +/- 0.07,88.81 +/- 9.08,93.32 +/- 5.27,0.19 +/- 0.16,SDM
933,Pseudoxandracuspidata,3,Trees,NA,NA,NA,NA,NA,UPFls_10
934,Psophiadextralis,2,Birds,NA,NA,NA,NA,NA,UPFls_10
935,Psophiaobscura,1,Birds,NA,NA,NA,NA,NA,UPFls_10
936,Psychotriaappendiculata,1,Trees,NA,NA,NA,NA,NA,UPFls_10
937,Psychotriacontracta,1,Trees,NA,NA,NA,NA,NA,UPFls_10
938,Psychotriapaniculata,5,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,97.33 +/- 5.16,0.34 +/- 0.1,UPFls_10
939,Psychotriasp,1,Trees,NA,NA,NA,NA,NA,Excluded
940,Psychotriastipulosa,1,Trees,NA,NA,NA,NA,NA,UPFls_10
941,Pterocarpusrohrii,34,Trees,1 +/- 0.02,0.9 +/- 0.08,98.05 +/- 5.02,90.5 +/- 7.02,0.14 +/- 0.07,SDM
942,Pteroglossusaracari,85,Birds,0.9 +/- 0.02,0.7 +/- 0.04,86.55 +/- 6.48,79.04 +/- 7.75,0.11 +/- 0.07,SDM
943,Pteroglossusbitorquatus,27,Birds,0.9 +/- 0.04,0.8 +/- 0.09,91.43 +/- 10.04,92.67 +/- 6.46,0.2 +/- 0.16,SDM
944,Ptychopetalumuncinatum,5,Trees,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,94.35 +/- 7.79,0.25 +/- 0.08,SDM
945,Pygiptilastellaris,30,Birds,1 +/- 0.03,0.9 +/- 0.08,94.3 +/- 8.01,91.82 +/- 7.8,0.2 +/- 0.18,SDM
946,Pyriglenaleuconota,89,Birds,0.9 +/- 0.03,0.7 +/- 0.08,86.4 +/- 8.48,83.93 +/- 7.51,0.12 +/- 0.04,SDM
947,Pyriliavulturina,8,Birds,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.12 +/- 5.6,0.32 +/- 0.12,UPFls_10
948,Pyrrhuraamazonum,16,Birds,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.1 +/- 2.66,0.29 +/- 0.15,SDM
949,Pyrrhuralepida,21,Birds,0.9 +/- 0.05,0.9 +/- 0.11,93.24 +/- 11.26,92.68 +/- 8.25,0.21 +/- 0.12,SDM
950,Qualeadinizii,3,Trees,NA,NA,NA,NA,NA,UPFls_10
951,Qualeaparaensis,4,Trees,NA,NA,NA,NA,NA,UPFls_10
952,Quararibeaguianensis,41,Trees,1 +/- 0.04,0.9 +/- 0.09,89.66 +/- 9.5,98.29 +/- 3.08,0.23 +/- 0.12,SDM
953,Querulapurpurata,55,Birds,1 +/- 0.04,0.8 +/- 0.07,91.85 +/- 9.2,91 +/- 6.58,0.13 +/- 0.08,SDM
954,Quiinaamazonica,13,Trees,1 +/- 0.03,0.9 +/- 0.09,100 +/- 0,92.59 +/- 9.36,0.31 +/- 0.19,SDM
955,Quiinaparaensis,25,Trees,0.9 +/- 0.04,0.8 +/- 0.08,89.66 +/- 10.17,93.1 +/- 5,0.17 +/- 0.08,SDM
956,Ramphastostucanus,97,Birds,0.9 +/- 0.05,0.7 +/- 0.07,82.08 +/- 11.06,92.28 +/- 5.6,0.16 +/- 0.12,SDM
957,Ramphastosvitellinus,90,Birds,0.9 +/- 0.03,0.7 +/- 0.06,81 +/- 10.22,88.09 +/- 8.68,0.13 +/- 0.1,SDM
958,Ramphocaenusmelanurus,103,Birds,0.9 +/- 0.03,0.7 +/- 0.03,83.6 +/- 9.26,89.4 +/- 9.83,0.17 +/- 0.11,SDM
959,Ramphoceluscarbo,175,Birds,0.8 +/- 0.03,0.5 +/- 0.04,77.01 +/- 12.88,68.28 +/- 11.09,0.12 +/- 0.11,Excluded
960,Ramphotrigonruficauda,14,Birds,1 +/- 0.03,0.9 +/- 0.11,100 +/- 0,85.71 +/- 11.7,0.22 +/- 0.2,SDM
961,Randiaarmata,8,Trees,0.9 +/- 0.06,0.9 +/- 0.07,100 +/- 0,90.47 +/- 8.13,0.2 +/- 0.15,SDM
962,Rhabdodendronamazonicum,13,Trees,1 +/- 0.03,0.9 +/- 0.1,100 +/- 0,82.31 +/- 22.02,0.22 +/- 0.25,SDM
963,Rhegmatorhinagymnops,5,Birds,1 +/- 0.03,1 +/- 0.06,100 +/- 0,97.17 +/- 6.13,0.3 +/- 0.07,UPFls_10
964,Rhynchosiaphaseoloides,2,Trees,NA,NA,NA,NA,NA,UPFls_10
965,Rhytipternasimplex,86,Birds,0.9 +/- 0.02,0.8 +/- 0.05,86.63 +/- 7.3,91.4 +/- 7.03,0.16 +/- 0.12,SDM
966,Rinoreafalcata,3,Trees,NA,NA,NA,NA,NA,UPFls_10
967,Rinoreaflavescens,13,Trees,1 +/- 0.03,1 +/- 0.05,100 +/- 0,95.9 +/- 4.94,0.25 +/- 0.11,SDM
968,Rinoreaguianensis,101,Trees,0.9 +/- 0.03,0.8 +/- 0.04,84.83 +/- 7.37,91.81 +/- 6.48,0.22 +/- 0.29,SDM
969,Rinoreaneglecta,68,Trees,0.9 +/- 0.02,0.8 +/- 0.04,91.96 +/- 7.39,85.67 +/- 8.66,0.11 +/- 0.09,SDM
970,Rinorearacemosa,53,Trees,0.9 +/- 0.04,0.8 +/- 0.06,89.9 +/- 7.77,92.9 +/- 5.67,0.15 +/- 0.1,SDM
971,Rinoreariana,71,Trees,0.9 +/- 0.03,0.8 +/- 0.06,85.71 +/- 8.75,91.71 +/- 8.99,0.18 +/- 0.15,SDM
972,Rinoreasp,3,Trees,NA,NA,NA,NA,NA,Excluded
973,Rinoreocarpusulei,10,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,92.76 +/- 6.76,0.39 +/- 0.2,SDM
974,Roucheriapunctata,4,Trees,NA,NA,NA,NA,NA,UPFls_10
975,Roureacnestidifolia,2,Trees,NA,NA,NA,NA,NA,UPFls_10
976,Rourealigulata,18,Trees,0.9 +/- 0.05,0.9 +/- 0.11,94.23 +/- 10.67,91.67 +/- 10.06,0.22 +/- 0.17,SDM
977,Rudgealanceifolia,2,Trees,NA,NA,NA,NA,NA,UPFls_10
978,Ryaniaspeciosa,3,Trees,NA,NA,NA,NA,NA,UPFls_10
979,Sacoglottisguianensis,31,Trees,0.9 +/- 0.03,0.8 +/- 0.05,90.91 +/- 8.7,87.64 +/- 11.89,0.21 +/- 0.17,SDM
980,Sagotiabrachysepala,5,Trees,1 +/- 0.04,1 +/- 0.06,100 +/- 0,96.14 +/- 6.2,0.3 +/- 0.08,UPFls_10
981,Sagotiaguianensis,2,Trees,NA,NA,NA,NA,NA,UPFls_10
982,Sagotiaracemosa,99,Trees,0.9 +/- 0.03,0.8 +/- 0.07,88.96 +/- 7.66,91.47 +/- 5.99,0.15 +/- 0.07,SDM
983,Salaciacordata,1,Trees,NA,NA,NA,NA,NA,UPFls_10
984,Salaciaimpressifolia,6,Trees,1 +/- 0.02,1 +/- 0.04,100 +/- 0,98.48 +/- 3.62,0.31 +/- 0.12,UPFls_10
985,Salaciavolubilis,2,Trees,NA,NA,NA,NA,NA,UPFls_10
986,Saltatorgrossus,70,Birds,0.9 +/- 0.03,0.8 +/- 0.06,88.78 +/- 8.12,90.13 +/- 6.09,0.13 +/- 0.1,SDM
987,Saltatormaximus,91,Birds,NA,NA,NA,NA,NA,UPFls_10
988,Sapindussaponaria,4,Trees,NA,NA,NA,NA,NA,UPFls_10
989,Sapiumglandulosum,58,Trees,0.9 +/- 0.04,0.7 +/- 0.06,92.26 +/- 9.6,76.98 +/- 10.61,0.09 +/- 0.06,SDM
990,Sapiummarmieri,13,Trees,0.9 +/- 0.03,0.9 +/- 0.07,100 +/- 0,85.96 +/- 7.09,0.2 +/- 0.15,SDM
991,Sarcaulusbrasiliensis,13,Trees,1 +/- 0.01,1 +/- 0.03,100 +/- 0,98.88 +/- 2.54,0.29 +/- 0.09,SDM
992,Scheffleramorototoni,78,Trees,0.9 +/- 0.03,0.8 +/- 0.06,90.04 +/- 7.59,84.94 +/- 8.8,0.13 +/- 0.08,SDM
993,Schiffornisturdina,26,Birds,1 +/- 0.06,0.9 +/- 0.11,92.68 +/- 9.75,98.35 +/- 2.64,0.36 +/- 0.2,SDM
994,Schizolobiumparahyba,12,Trees,0.9 +/- 0.05,0.9 +/- 0.08,100 +/- 0,88.94 +/- 7.58,0.19 +/- 0.07,SDM
995,Scleruruscaudacutus,12,Birds,1 +/- 0.05,0.9 +/- 0.09,100 +/- 0,90.32 +/- 9.61,0.25 +/- 0.19,SDM
996,Sclerurusmexicanus,3,Birds,NA,NA,NA,NA,NA,UPFls_10
997,Sclerurusrufigularis,5,Birds,1 +/- 0.05,0.9 +/- 0.08,100 +/- 0,94.52 +/- 7.72,0.29 +/- 0.09,SDM
998,Selenideragouldii,32,Birds,1 +/- 0.03,0.9 +/- 0.09,93.89 +/- 8.17,91.15 +/- 8.2,0.2 +/- 0.14,SDM
999,Senegaliaalemquerensis,10,Trees,1 +/- 0.03,0.9 +/- 0.07,100 +/- 0,94.78 +/- 6.65,0.24 +/- 0.12,SDM
